Tag Name,Time,Value
Caudal,10/05/2023 13:42,30
Caudal,10/05/2023 15:04,31
Caudal,10/05/2023 16:26,30
Caudal,10/05/2023 17:48,32
Caudal,10/05/2023 19:10,32
Caudal,10/05/2023 20:32,31
Caudal,10/05/2023 21:54,31
Caudal,10/05/2023 23:16,30
Caudal,11/05/2023 0:38,29
Caudal,11/05/2023 2:00,32
Caudal,11/05/2023 3:22,32
Caudal,11/05/2023 4:44,32
Caudal,11/05/2023 6:06,32
Caudal,11/05/2023 7:28,32
Caudal,11/05/2023 8:50,32
Caudal,11/05/2023 10:12,33
Caudal,11/05/2023 11:34,31
Caudal,11/05/2023 12:56,33
Caudal,11/05/2023 14:18,33
Caudal,11/05/2023 15:40,28
Caudal,11/05/2023 17:02,31
Caudal,11/05/2023 18:24,30
Caudal,11/05/2023 19:46,30
Caudal,11/05/2023 21:08,30
Caudal,11/05/2023 22:30,32
Caudal,11/05/2023 23:52,32
Caudal,12/05/2023 1:14,32
Caudal,12/05/2023 2:36,31
Caudal,12/05/2023 3:58,33
Caudal,12/05/2023 5:20,31
Caudal,12/05/2023 6:42,31
Caudal,12/05/2023 8:04,32
Caudal,12/05/2023 9:26,32
Caudal,12/05/2023 10:48,31
Caudal,12/05/2023 12:10,26
Caudal,12/05/2023 13:32,25
Caudal,12/05/2023 14:54,27
Caudal,12/05/2023 16:16,27
Caudal,12/05/2023 17:38,28
Caudal,12/05/2023 19:00,29
Caudal,12/05/2023 20:22,28
Caudal,12/05/2023 21:44,29
Caudal,12/05/2023 23:06,28
Caudal,13/05/2023 0:28,26
Caudal,13/05/2023 1:50,27
Caudal,13/05/2023 3:12,27
Caudal,13/05/2023 4:34,25
Caudal,13/05/2023 5:56,26
Caudal,13/05/2023 7:18,27
Caudal,13/05/2023 8:40,28
Caudal,13/05/2023 10:02,28
Caudal,13/05/2023 11:24,26
Caudal,13/05/2023 12:46,27
Caudal,13/05/2023 13:24,20
Caudal,13/05/2023 13:25,8
Caudal,13/05/2023 14:08,0
Caudal,13/05/2023 15:30,0
Caudal,13/05/2023 16:52,6
Caudal,13/05/2023 18:14,0
Caudal,13/05/2023 19:36,0
Caudal,13/05/2023 20:58,0
Caudal,13/05/2023 22:20,0
Caudal,13/05/2023 23:42,0
Caudal,14/05/2023 1:04,0
Caudal,14/05/2023 2:26,0
Caudal,14/05/2023 3:48,0
Caudal,14/05/2023 5:10,0
Caudal,14/05/2023 6:32,0
Caudal,14/05/2023 7:55,0
Caudal,14/05/2023 9:16,0
Caudal,14/05/2023 10:38,0
Caudal,14/05/2023 12:00,0
Caudal,14/05/2023 13:22,0
Caudal,14/05/2023 14:44,0
Caudal,14/05/2023 16:06,0
Caudal,14/05/2023 17:28,0
Caudal,14/05/2023 18:50,0
Caudal,14/05/2023 20:12,0
Caudal,14/05/2023 21:34,0
Caudal,14/05/2023 22:56,0
Caudal,15/05/2023 0:18,0
Caudal,15/05/2023 1:40,0
Caudal,15/05/2023 3:02,0
Caudal,15/05/2023 4:24,0
Caudal,15/05/2023 5:46,0
Caudal,15/05/2023 7:04,27
Caudal,15/05/2023 7:04,39
Caudal,15/05/2023 7:04,52
Caudal,15/05/2023 7:04,52
Caudal,15/05/2023 7:04,67
Caudal,15/05/2023 7:06,91
Caudal,15/05/2023 7:06,104
Caudal,15/05/2023 7:07,90
Caudal,15/05/2023 7:07,104
Caudal,15/05/2023 7:08,94
Caudal,15/05/2023 7:08,92
Caudal,15/05/2023 7:12,111
Caudal,15/05/2023 7:12,97
Caudal,15/05/2023 7:14,109
Caudal,15/05/2023 7:34,112
Caudal,15/05/2023 7:34,99
Caudal,15/05/2023 7:47,113
Caudal,15/05/2023 7:47,101
Caudal,15/05/2023 8:25,89
Caudal,15/05/2023 8:25,106
Caudal,15/05/2023 8:30,94
Caudal,15/05/2023 8:30,100
Caudal,15/05/2023 8:31,108
Caudal,15/05/2023 8:32,96
Caudal,15/05/2023 8:41,109
Caudal,15/05/2023 9:08,108
Caudal,15/05/2023 9:25,96
Caudal,15/05/2023 9:34,111
Caudal,15/05/2023 9:43,110
Caudal,15/05/2023 9:44,99
Caudal,15/05/2023 9:52,112
Caudal,15/05/2023 9:52,108
Caudal,15/05/2023 9:55,99
Caudal,15/05/2023 10:04,112
Caudal,15/05/2023 10:06,100
Caudal,15/05/2023 10:16,116
Caudal,15/05/2023 10:17,102
Caudal,15/05/2023 10:38,102
Caudal,15/05/2023 10:45,89
Caudal,15/05/2023 10:46,112
Caudal,15/05/2023 10:47,98
Caudal,15/05/2023 10:55,111
Caudal,15/05/2023 10:55,111
Caudal,15/05/2023 10:55,99
Caudal,15/05/2023 11:08,87
Caudal,15/05/2023 11:09,90
Caudal,15/05/2023 11:10,103
Caudal,15/05/2023 11:13,89
Caudal,15/05/2023 11:13,108
Caudal,15/05/2023 11:14,99
Caudal,15/05/2023 11:15,96
Caudal,15/05/2023 11:16,110
Caudal,15/05/2023 11:16,98
Caudal,15/05/2023 11:19,110
Caudal,15/05/2023 11:19,96
Caudal,15/05/2023 11:24,84
Caudal,15/05/2023 11:27,109
Caudal,15/05/2023 11:27,97
Caudal,15/05/2023 11:28,85
Caudal,15/05/2023 11:28,97
Caudal,15/05/2023 11:28,110
Caudal,15/05/2023 11:28,94
Caudal,15/05/2023 11:31,107
Caudal,15/05/2023 11:33,93
Caudal,15/05/2023 11:37,81
Caudal,15/05/2023 11:39,68
Caudal,15/05/2023 11:39,68
Caudal,15/05/2023 11:43,57
Caudal,15/05/2023 12:36,49
Caudal,15/05/2023 13:58,49
Caudal,15/05/2023 15:20,49
Caudal,15/05/2023 15:45,92
Caudal,15/05/2023 15:46,75
Caudal,15/05/2023 15:46,62
Caudal,15/05/2023 15:49,54
Caudal,15/05/2023 15:49,41
Caudal,15/05/2023 15:50,55
Caudal,15/05/2023 15:51,68
Caudal,15/05/2023 15:51,56
Caudal,15/05/2023 15:52,43
Caudal,15/05/2023 15:53,56
Caudal,15/05/2023 15:54,67
Caudal,15/05/2023 15:55,52
Caudal,15/05/2023 15:55,40
Caudal,15/05/2023 15:56,52
Caudal,15/05/2023 15:56,52
Caudal,15/05/2023 15:57,64
Caudal,15/05/2023 15:58,52
Caudal,15/05/2023 15:58,40
Caudal,15/05/2023 15:59,53
Caudal,15/05/2023 16:01,41
Caudal,15/05/2023 16:03,53
Caudal,15/05/2023 16:05,41
Caudal,15/05/2023 16:05,41
Caudal,15/05/2023 16:05,52
Caudal,15/05/2023 16:07,39
Caudal,15/05/2023 16:11,51
Caudal,15/05/2023 16:11,38
Caudal,15/05/2023 16:42,32
Caudal,15/05/2023 18:04,34
Caudal,15/05/2023 19:26,33
Caudal,15/05/2023 20:48,33
Caudal,15/05/2023 22:10,33
Caudal,15/05/2023 23:32,32
Caudal,16/05/2023 0:04,39
Caudal,16/05/2023 0:05,26
Caudal,16/05/2023 0:06,27
Caudal,16/05/2023 0:07,39
Caudal,16/05/2023 0:09,27
Caudal,16/05/2023 0:10,40
Caudal,16/05/2023 0:13,40
Caudal,16/05/2023 0:13,27
Caudal,16/05/2023 0:15,28
Caudal,16/05/2023 0:16,39
Caudal,16/05/2023 0:17,26
Caudal,16/05/2023 0:19,38
Caudal,16/05/2023 0:21,25
Caudal,16/05/2023 0:22,37
Caudal,16/05/2023 0:23,25
Caudal,16/05/2023 0:25,38
Caudal,16/05/2023 0:54,33
Caudal,16/05/2023 2:16,35
Caudal,16/05/2023 2:45,52
Caudal,16/05/2023 2:46,38
Caudal,16/05/2023 2:48,50
Caudal,16/05/2023 2:49,38
Caudal,16/05/2023 2:51,51
Caudal,16/05/2023 2:52,39
Caudal,16/05/2023 2:54,51
Caudal,16/05/2023 2:55,38
Caudal,16/05/2023 2:58,51
Caudal,16/05/2023 2:58,39
Caudal,16/05/2023 3:00,51
Caudal,16/05/2023 3:01,38
Caudal,16/05/2023 3:04,50
Caudal,16/05/2023 3:05,38
Caudal,16/05/2023 3:07,51
Caudal,16/05/2023 3:07,38
Caudal,16/05/2023 3:10,50
Caudal,16/05/2023 3:10,38
Caudal,16/05/2023 3:13,35
Caudal,16/05/2023 3:14,50
Caudal,16/05/2023 3:16,48
Caudal,16/05/2023 3:19,35
Caudal,16/05/2023 3:22,47
Caudal,16/05/2023 3:25,35
Caudal,16/05/2023 5:00,35
Caudal,16/05/2023 6:22,29
Caudal,16/05/2023 7:44,34
Caudal,16/05/2023 7:58,24
Caudal,16/05/2023 7:58,36
Caudal,16/05/2023 8:01,24
Caudal,16/05/2023 8:01,37
Caudal,16/05/2023 8:02,24
Caudal,16/05/2023 9:06,34
Caudal,16/05/2023 10:22,34
Caudal,16/05/2023 11:50,34
Caudal,16/05/2023 13:12,34
Caudal,16/05/2023 14:34,34
Caudal,16/05/2023 15:56,34
Caudal,16/05/2023 17:18,34
Caudal,16/05/2023 17:44,34
Caudal,16/05/2023 17:44,0
Caudal,16/05/2023 18:40,0
Caudal,16/05/2023 20:02,0
Caudal,16/05/2023 20:07,34
Caudal,16/05/2023 20:07,34
Caudal,16/05/2023 20:07,63
Caudal,16/05/2023 20:07,86
Caudal,16/05/2023 20:07,86
Caudal,16/05/2023 20:07,104
Caudal,16/05/2023 20:08,118
Caudal,16/05/2023 20:08,118
Caudal,16/05/2023 20:08,133
Caudal,16/05/2023 20:09,145
Caudal,16/05/2023 21:24,147
Caudal,16/05/2023 22:46,141
Caudal,17/05/2023 0:08,138
Caudal,17/05/2023 1:30,141
Caudal,17/05/2023 2:14,133
Caudal,17/05/2023 2:52,129
Caudal,17/05/2023 3:18,121
Caudal,17/05/2023 4:02,98
Caudal,17/05/2023 4:14,93
Caudal,17/05/2023 4:27,86
Caudal,17/05/2023 5:02,74
Caudal,17/05/2023 5:36,66
Caudal,17/05/2023 6:58,85
Caudal,17/05/2023 6:59,86
Caudal,17/05/2023 7:30,98
Caudal,17/05/2023 8:20,105
Caudal,17/05/2023 9:20,110
Caudal,17/05/2023 9:42,110
Caudal,17/05/2023 10:06,96
Caudal,17/05/2023 10:06,84
Caudal,17/05/2023 10:07,63
Caudal,17/05/2023 10:07,51
Caudal,17/05/2023 10:07,38
Caudal,17/05/2023 10:20,27
Caudal,17/05/2023 11:04,27
Caudal,17/05/2023 12:26,29
