Tag Name,Time,Value
Caudal,10/05/2023 13:18,1
Caudal,10/05/2023 14:38,2
Caudal,10/05/2023 16:00,2
Caudal,10/05/2023 18:44,2
Caudal,10/05/2023 20:06,2
Caudal,10/05/2023 21:29,2
Caudal,11/05/2023 0:12,1
Caudal,11/05/2023 1:34,1
Caudal,11/05/2023 2:56,1
Caudal,11/05/2023 4:18,1
Caudal,11/05/2023 5:40,1
Caudal,11/05/2023 7:03,1
Caudal,11/05/2023 8:24,1
Caudal,11/05/2023 9:47,1
Caudal,11/05/2023 12:30,1
Caudal,11/05/2023 13:52,1
Caudal,11/05/2023 15:15,2
Caudal,11/05/2023 16:36,2
Caudal,11/05/2023 17:58,2
Caudal,11/05/2023 19:20,2
Caudal,11/05/2023 22:04,1
Caudal,11/05/2023 23:26,1
Caudal,12/05/2023 0:48,2
Caudal,12/05/2023 2:10,2
Caudal,12/05/2023 3:32,2
Caudal,12/05/2023 4:54,2
Caudal,12/05/2023 6:16,2
Caudal,12/05/2023 7:38,2
Caudal,12/05/2023 9:00,2
Caudal,12/05/2023 10:23,1
Caudal,12/05/2023 14:30,2
Caudal,12/05/2023 17:12,2
Caudal,12/05/2023 18:34,2
Caudal,12/05/2023 19:56,2
Caudal,12/05/2023 21:18,2
Caudal,12/05/2023 22:41,2
Caudal,13/05/2023 0:02,1
Caudal,13/05/2023 1:25,1
Caudal,13/05/2023 2:47,2
Caudal,13/05/2023 5:30,1
Caudal,13/05/2023 6:52,1
Caudal,13/05/2023 8:14,1
Caudal,13/05/2023 9:36,1
Caudal,13/05/2023 10:59,1
Caudal,13/05/2023 12:21,1
Caudal,13/05/2023 13:42,0
Caudal,13/05/2023 15:04,0
Caudal,13/05/2023 16:28,0
Caudal,13/05/2023 17:48,0
Caudal,13/05/2023 19:10,0
Caudal,13/05/2023 20:32,0
Caudal,13/05/2023 21:54,0
Caudal,14/05/2023 4:44,0
Caudal,14/05/2023 8:50,0
Caudal,14/05/2023 14:18,0
Caudal,14/05/2023 15:40,0
Caudal,14/05/2023 17:02,0
Caudal,14/05/2023 18:24,0
Caudal,14/05/2023 19:46,0
Caudal,14/05/2023 22:30,0
Caudal,15/05/2023 1:15,0
Caudal,15/05/2023 5:20,0
Caudal,15/05/2023 6:42,0
Caudal,15/05/2023 8:04,9
Caudal,15/05/2023 9:27,9
Caudal,15/05/2023 10:48,9
Caudal,15/05/2023 13:33,8
Caudal,15/05/2023 14:54,11
Caudal,15/05/2023 16:16,9
Caudal,15/05/2023 17:40,8
Caudal,15/05/2023 19:02,10
Caudal,15/05/2023 20:22,8
Caudal,16/05/2023 1:50,8
Caudal,16/05/2023 5:56,8
Caudal,16/05/2023 7:18,11
Caudal,16/05/2023 8:40,10
Caudal,16/05/2023 12:47,10
Caudal,16/05/2023 14:08,10
Caudal,16/05/2023 15:31,12
Caudal,16/05/2023 16:54,12
