Tag Name,Time,Value
Caudal,10/05/2023 12:32,170
Caudal,10/05/2023 12:45,186
Caudal,10/05/2023 12:45,172
Caudal,10/05/2023 13:06,170
Caudal,10/05/2023 13:07,185
Caudal,10/05/2023 13:15,184
Caudal,10/05/2023 13:15,171
Caudal,10/05/2023 13:41,184
Caudal,10/05/2023 13:43,171
Caudal,10/05/2023 13:51,184
Caudal,10/05/2023 13:51,171
Caudal,10/05/2023 13:54,168
Caudal,10/05/2023 14:02,184
Caudal,10/05/2023 14:03,171
Caudal,10/05/2023 14:12,188
Caudal,10/05/2023 14:13,175
Caudal,10/05/2023 14:17,163
Caudal,10/05/2023 14:17,175
Caudal,10/05/2023 14:21,189
Caudal,10/05/2023 14:21,177
Caudal,10/05/2023 14:34,190
Caudal,10/05/2023 14:43,166
Caudal,10/05/2023 14:45,182
Caudal,10/05/2023 15:03,170
Caudal,10/05/2023 15:04,182
Caudal,10/05/2023 15:10,172
Caudal,10/05/2023 15:11,186
Caudal,10/05/2023 15:17,167
Caudal,10/05/2023 15:30,185
Caudal,10/05/2023 15:30,185
Caudal,10/05/2023 15:30,170
Caudal,10/05/2023 16:37,172
Caudal,10/05/2023 16:37,187
Caudal,10/05/2023 16:37,187
Caudal,10/05/2023 16:38,171
Caudal,10/05/2023 18:00,168
Caudal,10/05/2023 18:04,160
Caudal,10/05/2023 18:06,174
Caudal,10/05/2023 18:09,173
Caudal,10/05/2023 18:09,185
Caudal,10/05/2023 18:13,163
Caudal,10/05/2023 18:13,175
Caudal,10/05/2023 18:13,187
Caudal,10/05/2023 18:16,174
Caudal,10/05/2023 18:18,187
Caudal,10/05/2023 18:18,175
Caudal,10/05/2023 18:18,175
Caudal,10/05/2023 19:15,190
Caudal,10/05/2023 19:15,190
Caudal,10/05/2023 19:15,177
Caudal,10/05/2023 19:22,168
Caudal,10/05/2023 20:45,168
Caudal,10/05/2023 22:06,171
Caudal,10/05/2023 23:13,189
Caudal,10/05/2023 23:14,172
Caudal,11/05/2023 0:50,171
Caudal,11/05/2023 2:12,173
Caudal,11/05/2023 3:34,173
Caudal,11/05/2023 4:56,172
Caudal,11/05/2023 6:18,176
Caudal,11/05/2023 7:36,160
Caudal,11/05/2023 7:37,172
Caudal,11/05/2023 7:37,185
Caudal,11/05/2023 7:37,173
Caudal,11/05/2023 7:38,160
Caudal,11/05/2023 7:40,162
Caudal,11/05/2023 7:40,175
Caudal,11/05/2023 7:41,147
Caudal,11/05/2023 7:43,176
Caudal,11/05/2023 7:45,201
Caudal,11/05/2023 7:45,201
Caudal,11/05/2023 7:45,188
Caudal,11/05/2023 7:46,176
Caudal,11/05/2023 7:47,188
Caudal,11/05/2023 7:49,176
Caudal,11/05/2023 7:54,164
Caudal,11/05/2023 7:55,166
Caudal,11/05/2023 7:58,187
Caudal,11/05/2023 7:58,175
Caudal,11/05/2023 8:00,163
Caudal,11/05/2023 8:02,168
Caudal,11/05/2023 8:02,179
Caudal,11/05/2023 8:40,180
Caudal,11/05/2023 8:42,168
Caudal,11/05/2023 8:52,181
Caudal,11/05/2023 8:53,169
Caudal,11/05/2023 9:02,166
Caudal,11/05/2023 9:07,181
Caudal,11/05/2023 9:08,169
Caudal,11/05/2023 9:19,170
Caudal,11/05/2023 9:21,186
Caudal,11/05/2023 9:24,183
Caudal,11/05/2023 9:25,171
Caudal,11/05/2023 9:25,171
Caudal,11/05/2023 9:31,184
Caudal,11/05/2023 9:31,170
Caudal,11/05/2023 9:36,184
Caudal,11/05/2023 9:37,171
Caudal,11/05/2023 9:43,184
Caudal,11/05/2023 9:43,172
Caudal,11/05/2023 9:52,184
Caudal,11/05/2023 9:52,169
Caudal,11/05/2023 9:54,181
Caudal,11/05/2023 9:55,169
Caudal,11/05/2023 9:59,169
Caudal,11/05/2023 10:01,181
Caudal,11/05/2023 10:01,169
Caudal,11/05/2023 10:10,186
Caudal,11/05/2023 10:10,173
Caudal,11/05/2023 10:13,172
Caudal,11/05/2023 10:14,185
Caudal,11/05/2023 10:19,186
Caudal,11/05/2023 10:19,172
Caudal,11/05/2023 10:22,173
Caudal,11/05/2023 10:24,186
Caudal,11/05/2023 10:28,185
Caudal,11/05/2023 10:28,170
Caudal,11/05/2023 10:34,186
Caudal,11/05/2023 10:34,186
Caudal,11/05/2023 10:34,173
Caudal,11/05/2023 10:37,185
Caudal,11/05/2023 10:37,172
Caudal,11/05/2023 10:43,185
Caudal,11/05/2023 10:43,172
Caudal,11/05/2023 10:52,186
Caudal,11/05/2023 10:52,173
Caudal,11/05/2023 11:06,185
Caudal,11/05/2023 11:06,172
Caudal,11/05/2023 11:08,185
Caudal,11/05/2023 11:10,173
Caudal,11/05/2023 11:12,186
Caudal,11/05/2023 11:13,173
Caudal,11/05/2023 11:14,187
Caudal,11/05/2023 11:16,174
Caudal,11/05/2023 11:19,170
Caudal,11/05/2023 11:19,186
Caudal,11/05/2023 11:20,181
Caudal,11/05/2023 11:21,170
Caudal,11/05/2023 11:46,172
Caudal,11/05/2023 12:58,171
Caudal,11/05/2023 13:01,185
Caudal,11/05/2023 13:01,173
Caudal,11/05/2023 13:08,169
Caudal,11/05/2023 13:28,186
Caudal,11/05/2023 13:28,173
Caudal,11/05/2023 13:49,185
Caudal,11/05/2023 13:49,172
Caudal,11/05/2023 14:30,167
Caudal,11/05/2023 15:52,174
Caudal,11/05/2023 17:13,185
Caudal,11/05/2023 17:14,168
Caudal,11/05/2023 17:14,172
Caudal,11/05/2023 17:31,186
Caudal,11/05/2023 17:31,170
Caudal,11/05/2023 17:31,186
Caudal,11/05/2023 17:41,171
Caudal,11/05/2023 18:04,183
Caudal,11/05/2023 18:04,171
Caudal,11/05/2023 18:07,171
Caudal,11/05/2023 18:08,159
Caudal,11/05/2023 18:08,182
Caudal,11/05/2023 18:10,173
Caudal,11/05/2023 18:11,161
Caudal,11/05/2023 18:13,184
Caudal,11/05/2023 18:15,168
Caudal,11/05/2023 18:16,184
Caudal,11/05/2023 18:16,168
Caudal,11/05/2023 18:16,168
