Tag Name,Time,Value
Caudal,10/05/2023 12:33,613
Caudal,10/05/2023 12:35,591
Caudal,10/05/2023 12:35,605
Caudal,10/05/2023 12:35,616
Caudal,10/05/2023 12:35,629
Caudal,10/05/2023 12:35,617
Caudal,10/05/2023 12:35,603
Caudal,10/05/2023 12:43,591
Caudal,10/05/2023 12:47,626
Caudal,10/05/2023 12:47,638
Caudal,10/05/2023 12:47,623
Caudal,10/05/2023 12:47,609
Caudal,10/05/2023 12:48,604
Caudal,10/05/2023 12:53,595
Caudal,10/05/2023 13:02,607
Caudal,10/05/2023 13:02,623
Caudal,10/05/2023 13:02,619
Caudal,10/05/2023 13:02,607
Caudal,10/05/2023 13:02,594
Caudal,10/05/2023 13:08,607
Caudal,10/05/2023 13:08,636
Caudal,10/05/2023 13:08,636
Caudal,10/05/2023 13:08,623
Caudal,10/05/2023 13:09,592
Caudal,10/05/2023 13:11,604
Caudal,10/05/2023 13:11,619
Caudal,10/05/2023 13:11,620
Caudal,10/05/2023 13:11,606
Caudal,10/05/2023 13:12,594
Caudal,10/05/2023 13:14,581
Caudal,10/05/2023 13:28,587
Caudal,10/05/2023 13:28,599
Caudal,10/05/2023 13:30,572
Caudal,10/05/2023 13:35,514
Caudal,10/05/2023 13:35,501
Caudal,10/05/2023 13:35,475
Caudal,10/05/2023 13:35,461
Caudal,10/05/2023 13:36,442
Caudal,10/05/2023 13:36,442
Caudal,10/05/2023 13:36,455
Caudal,10/05/2023 13:36,559
Caudal,10/05/2023 13:37,468
Caudal,10/05/2023 13:38,482
Caudal,10/05/2023 13:38,493
Caudal,10/05/2023 13:38,507
Caudal,10/05/2023 13:38,519
Caudal,10/05/2023 13:38,531
Caudal,10/05/2023 13:38,543
Caudal,10/05/2023 13:38,570
Caudal,10/05/2023 13:39,551
Caudal,10/05/2023 13:39,523
Caudal,10/05/2023 13:44,511
Caudal,10/05/2023 13:52,506
Caudal,10/05/2023 13:59,499
Caudal,10/05/2023 14:02,528
Caudal,10/05/2023 14:02,545
Caudal,10/05/2023 14:02,528
Caudal,10/05/2023 14:02,515
Caudal,10/05/2023 14:04,502
Caudal,10/05/2023 14:14,504
Caudal,10/05/2023 14:14,535
Caudal,10/05/2023 14:14,523
Caudal,10/05/2023 14:15,496
Caudal,10/05/2023 14:15,519
Caudal,10/05/2023 14:20,484
Caudal,10/05/2023 14:26,496
Caudal,10/05/2023 14:26,521
Caudal,10/05/2023 14:26,495
Caudal,10/05/2023 14:27,481
Caudal,10/05/2023 14:35,469
Caudal,10/05/2023 14:38,481
Caudal,10/05/2023 14:38,496
Caudal,10/05/2023 14:38,509
