Tag Name,Time,Value
Caudal,10/05/2023 13:40,27
Caudal,10/05/2023 15:02,26
Caudal,10/05/2023 16:24,26
Caudal,10/05/2023 17:46,25
Caudal,10/05/2023 19:08,25
Caudal,10/05/2023 20:30,26
Caudal,10/05/2023 21:52,26
Caudal,10/05/2023 23:14,28
Caudal,11/05/2023 0:36,30
Caudal,11/05/2023 1:58,29
Caudal,11/05/2023 3:20,29
Caudal,11/05/2023 4:42,29
Caudal,11/05/2023 6:04,29
Caudal,11/05/2023 7:26,29
Caudal,11/05/2023 8:48,26
Caudal,11/05/2023 10:10,27
Caudal,11/05/2023 11:32,26
Caudal,11/05/2023 12:25,37
Caudal,11/05/2023 12:54,28
Caudal,11/05/2023 14:16,27
Caudal,11/05/2023 14:46,25
Caudal,11/05/2023 15:38,26
Caudal,11/05/2023 17:00,29
Caudal,11/05/2023 18:22,28
Caudal,11/05/2023 19:44,26
Caudal,11/05/2023 21:06,26
Caudal,11/05/2023 22:28,28
Caudal,11/05/2023 23:50,27
Caudal,12/05/2023 1:12,28
Caudal,12/05/2023 2:34,29
Caudal,12/05/2023 3:56,29
Caudal,12/05/2023 5:18,29
Caudal,12/05/2023 6:40,29
Caudal,12/05/2023 8:02,29
Caudal,12/05/2023 9:24,29
Caudal,12/05/2023 10:46,28
Caudal,12/05/2023 11:17,24
Caudal,12/05/2023 12:08,24
Caudal,12/05/2023 13:30,22
Caudal,12/05/2023 14:52,24
Caudal,12/05/2023 16:14,22
Caudal,12/05/2023 16:28,12
Caudal,12/05/2023 16:31,0
Caudal,12/05/2023 16:36,12
Caudal,12/05/2023 16:37,1
Caudal,12/05/2023 17:36,2
Caudal,12/05/2023 18:58,2
Caudal,12/05/2023 20:20,2
Caudal,12/05/2023 21:42,7
Caudal,12/05/2023 23:04,11
Caudal,12/05/2023 23:19,12
Caudal,13/05/2023 0:26,16
Caudal,13/05/2023 1:48,16
Caudal,13/05/2023 3:10,14
Caudal,13/05/2023 4:32,2
Caudal,13/05/2023 5:54,2
Caudal,13/05/2023 7:16,2
Caudal,13/05/2023 8:38,2
Caudal,13/05/2023 10:00,2
Caudal,13/05/2023 11:22,2
Caudal,13/05/2023 12:44,2
Caudal,13/05/2023 13:16,0
Caudal,13/05/2023 14:06,0
Caudal,13/05/2023 15:28,0
Caudal,13/05/2023 16:50,0
Caudal,13/05/2023 18:12,0
Caudal,13/05/2023 19:34,0
Caudal,13/05/2023 20:56,0
Caudal,13/05/2023 22:18,0
Caudal,13/05/2023 23:40,0
Caudal,14/05/2023 1:02,0
Caudal,14/05/2023 2:24,0
Caudal,14/05/2023 3:46,0
Caudal,14/05/2023 5:08,0
Caudal,14/05/2023 6:30,0
Caudal,14/05/2023 7:52,0
Caudal,14/05/2023 9:14,0
Caudal,14/05/2023 10:36,0
Caudal,14/05/2023 11:59,0
Caudal,14/05/2023 13:20,0
Caudal,14/05/2023 14:42,0
Caudal,14/05/2023 16:04,0
Caudal,14/05/2023 17:26,0
Caudal,14/05/2023 18:48,0
Caudal,14/05/2023 20:10,0
Caudal,14/05/2023 21:32,0
Caudal,14/05/2023 22:54,0
Caudal,15/05/2023 0:16,0
Caudal,15/05/2023 1:38,0
Caudal,15/05/2023 3:00,0
Caudal,15/05/2023 4:22,0
Caudal,15/05/2023 5:44,0
Caudal,15/05/2023 6:57,12
Caudal,15/05/2023 6:58,38
Caudal,15/05/2023 6:58,25
Caudal,15/05/2023 6:58,25
Caudal,15/05/2023 7:00,43
Caudal,15/05/2023 7:07,33
Caudal,15/05/2023 7:11,31
Caudal,15/05/2023 8:28,26
Caudal,15/05/2023 9:50,24
Caudal,15/05/2023 10:29,20
Caudal,15/05/2023 10:29,20
Caudal,15/05/2023 11:01,8
Caudal,15/05/2023 11:12,0
Caudal,15/05/2023 12:21,25
Caudal,15/05/2023 12:22,42
Caudal,15/05/2023 12:23,55
Caudal,15/05/2023 12:34,57
Caudal,15/05/2023 13:56,45
Caudal,15/05/2023 14:07,43
Caudal,15/05/2023 14:34,30
Caudal,15/05/2023 15:18,32
Caudal,15/05/2023 16:40,30
Caudal,15/05/2023 18:02,33
Caudal,15/05/2023 19:24,29
Caudal,15/05/2023 20:46,24
Caudal,15/05/2023 20:59,19
Caudal,15/05/2023 20:59,32
Caudal,15/05/2023 21:05,20
Caudal,15/05/2023 21:06,31
Caudal,15/05/2023 21:18,20
Caudal,15/05/2023 22:08,23
Caudal,15/05/2023 22:11,32
Caudal,15/05/2023 22:17,44
Caudal,15/05/2023 22:24,31
Caudal,15/05/2023 22:26,43
Caudal,15/05/2023 22:32,31
Caudal,15/05/2023 23:30,29
Caudal,15/05/2023 23:45,42
Caudal,16/05/2023 0:37,31
Caudal,16/05/2023 0:52,39
Caudal,16/05/2023 2:14,32
Caudal,16/05/2023 3:36,26
Caudal,16/05/2023 4:07,43
Caudal,16/05/2023 4:58,37
Caudal,16/05/2023 5:21,31
Caudal,16/05/2023 6:20,25
Caudal,16/05/2023 7:38,20
Caudal,16/05/2023 7:42,19
Caudal,16/05/2023 8:45,8
Caudal,16/05/2023 9:04,9
Caudal,16/05/2023 9:54,9
Caudal,16/05/2023 9:57,7
Caudal,16/05/2023 10:22,3
Caudal,16/05/2023 10:26,2
Caudal,16/05/2023 11:22,19
Caudal,16/05/2023 11:48,24
Caudal,16/05/2023 12:05,31
Caudal,16/05/2023 13:10,29
Caudal,16/05/2023 14:32,25
Caudal,16/05/2023 15:54,24
Caudal,16/05/2023 17:16,24
Caudal,16/05/2023 18:38,24
Caudal,16/05/2023 20:00,24
Caudal,16/05/2023 21:22,23
Caudal,16/05/2023 22:44,23
Caudal,17/05/2023 0:06,23
Caudal,17/05/2023 1:28,23
Caudal,17/05/2023 2:50,23
Caudal,17/05/2023 4:12,24
Caudal,17/05/2023 5:34,24
Caudal,17/05/2023 6:56,26
Caudal,17/05/2023 8:18,23
Caudal,17/05/2023 9:40,24
Caudal,17/05/2023 11:02,24
Caudal,17/05/2023 12:24,24
