Tag Name,Time,Value
Caudal,10/05/2023 12:48,628
Caudal,10/05/2023 12:51,619
Caudal,10/05/2023 12:53,635
Caudal,10/05/2023 12:56,623
Caudal,10/05/2023 13:00,611
Caudal,10/05/2023 13:02,624
Caudal,10/05/2023 13:03,621
Caudal,10/05/2023 13:10,609
Caudal,10/05/2023 13:20,627
Caudal,10/05/2023 13:20,641
Caudal,10/05/2023 13:21,628
Caudal,10/05/2023 13:21,616
Caudal,10/05/2023 13:21,628
Caudal,10/05/2023 13:23,628
Caudal,10/05/2023 13:24,629
Caudal,10/05/2023 13:30,616
Caudal,10/05/2023 13:32,628
Caudal,10/05/2023 13:33,627
Caudal,10/05/2023 13:45,615
Caudal,10/05/2023 14:03,631
Caudal,10/05/2023 14:10,618
Caudal,10/05/2023 14:24,635
Caudal,10/05/2023 14:24,623
Caudal,10/05/2023 15:00,635
Caudal,10/05/2023 15:15,623
Caudal,10/05/2023 15:32,626
Caudal,10/05/2023 15:42,639
Caudal,10/05/2023 15:49,612
Caudal,10/05/2023 15:51,630
Caudal,10/05/2023 15:52,618
Caudal,10/05/2023 16:28,607
Caudal,10/05/2023 16:30,619
Caudal,10/05/2023 16:36,635
Caudal,10/05/2023 16:54,627
Caudal,10/05/2023 16:54,623
Caudal,10/05/2023 16:57,637
Caudal,10/05/2023 16:57,625
Caudal,10/05/2023 18:17,625
Caudal,10/05/2023 19:38,618
Caudal,10/05/2023 21:00,620
Caudal,10/05/2023 22:22,632
Caudal,10/05/2023 23:44,624
Caudal,11/05/2023 0:15,637
Caudal,11/05/2023 1:06,635
Caudal,11/05/2023 2:28,633
Caudal,11/05/2023 3:50,629
Caudal,11/05/2023 5:12,632
Caudal,11/05/2023 5:40,625
Caudal,11/05/2023 5:55,637
Caudal,11/05/2023 6:34,633
Caudal,11/05/2023 6:49,625
Caudal,11/05/2023 6:51,614
Caudal,11/05/2023 6:52,630
Caudal,11/05/2023 6:53,605
Caudal,11/05/2023 6:54,622
Caudal,11/05/2023 6:55,635
Caudal,11/05/2023 6:56,622
Caudal,11/05/2023 6:57,605
Caudal,11/05/2023 6:58,620
Caudal,11/05/2023 6:58,620
Caudal,11/05/2023 6:58,634
Caudal,11/05/2023 6:58,653
Caudal,11/05/2023 6:58,655
Caudal,11/05/2023 6:59,625
Caudal,11/05/2023 7:03,613
Caudal,11/05/2023 7:03,613
Caudal,11/05/2023 7:03,625
Caudal,11/05/2023 7:05,643
Caudal,11/05/2023 7:05,643
Caudal,11/05/2023 7:06,654
Caudal,11/05/2023 7:07,642
Caudal,11/05/2023 7:08,609
Caudal,11/05/2023 7:10,584
Caudal,11/05/2023 7:10,597
Caudal,11/05/2023 7:10,598
Caudal,11/05/2023 7:10,645
Caudal,11/05/2023 7:10,667
Caudal,11/05/2023 7:10,655
Caudal,11/05/2023 7:11,623
Caudal,11/05/2023 7:13,638
Caudal,11/05/2023 7:16,625
Caudal,11/05/2023 7:22,613
Caudal,11/05/2023 7:25,625
Caudal,11/05/2023 7:28,638
Caudal,11/05/2023 7:29,620
Caudal,11/05/2023 7:32,634
Caudal,11/05/2023 7:32,622
Caudal,11/05/2023 7:36,608
Caudal,11/05/2023 7:37,622
Caudal,11/05/2023 7:42,608
Caudal,11/05/2023 7:43,620
Caudal,11/05/2023 7:43,632
Caudal,11/05/2023 7:45,619
Caudal,11/05/2023 7:51,607
Caudal,11/05/2023 7:52,619
Caudal,11/05/2023 7:52,633
Caudal,11/05/2023 7:53,611
Caudal,11/05/2023 7:56,606
Caudal,11/05/2023 7:58,600
Caudal,11/05/2023 7:58,612
Caudal,11/05/2023 7:58,629
Caudal,11/05/2023 7:58,642
Caudal,11/05/2023 7:59,624
Caudal,11/05/2023 8:01,636
Caudal,11/05/2023 8:01,623
Caudal,11/05/2023 8:07,612
Caudal,11/05/2023 8:07,625
Caudal,11/05/2023 8:07,638
Caudal,11/05/2023 8:08,625
Caudal,11/05/2023 8:13,612
Caudal,11/05/2023 8:44,624
Caudal,11/05/2023 8:58,636
Caudal,11/05/2023 9:18,637
Caudal,11/05/2023 9:37,624
Caudal,11/05/2023 9:55,636
Caudal,11/05/2023 10:33,624
Caudal,11/05/2023 10:33,624
Caudal,11/05/2023 10:36,612
Caudal,11/05/2023 10:37,624
Caudal,11/05/2023 10:37,640
Caudal,11/05/2023 10:37,620
Caudal,11/05/2023 10:40,624
Caudal,11/05/2023 11:04,608
Caudal,11/05/2023 11:10,621
Caudal,11/05/2023 11:10,650
Caudal,11/05/2023 11:10,627
Caudal,11/05/2023 12:02,623
Caudal,11/05/2023 12:22,631
Caudal,11/05/2023 12:23,615
Caudal,11/05/2023 12:24,641
Caudal,11/05/2023 12:28,627
Caudal,11/05/2023 12:36,627
Caudal,11/05/2023 13:01,640
Caudal,11/05/2023 13:01,626
Caudal,11/05/2023 13:03,640
Caudal,11/05/2023 13:06,627
Caudal,11/05/2023 13:09,640
Caudal,11/05/2023 13:12,627
Caudal,11/05/2023 13:18,639
Caudal,11/05/2023 13:21,627
Caudal,11/05/2023 13:24,620
Caudal,11/05/2023 13:26,638
Caudal,11/05/2023 13:30,626
Caudal,11/05/2023 13:31,639
Caudal,11/05/2023 13:31,625
Caudal,11/05/2023 13:33,639
Caudal,11/05/2023 13:34,626
Caudal,11/05/2023 13:38,614
Caudal,11/05/2023 13:40,628
Caudal,11/05/2023 13:41,628
Caudal,11/05/2023 13:54,640
Caudal,11/05/2023 13:55,628
Caudal,11/05/2023 13:55,628
Caudal,11/05/2023 14:02,614
Caudal,11/05/2023 14:03,614
Caudal,11/05/2023 14:05,630
Caudal,11/05/2023 14:17,617
Caudal,11/05/2023 14:23,630
Caudal,11/05/2023 14:45,614
Caudal,11/05/2023 14:45,614
Caudal,11/05/2023 14:46,601
Caudal,11/05/2023 14:46,601
Caudal,11/05/2023 14:46,612
Caudal,11/05/2023 14:46,630
Caudal,11/05/2023 14:47,615
Caudal,11/05/2023 14:48,628
Caudal,11/05/2023 14:59,614
Caudal,11/05/2023 15:00,599
Caudal,11/05/2023 15:01,612
Caudal,11/05/2023 15:01,625
Caudal,11/05/2023 15:01,625
Caudal,11/05/2023 15:01,643
Caudal,11/05/2023 15:01,658
Caudal,11/05/2023 15:02,646
Caudal,11/05/2023 15:02,632
Caudal,11/05/2023 15:02,620
Caudal,11/05/2023 15:03,637
Caudal,11/05/2023 15:05,624
Caudal,11/05/2023 15:15,612
Caudal,11/05/2023 15:16,598
Caudal,11/05/2023 15:16,583
Caudal,11/05/2023 15:16,599
Caudal,11/05/2023 15:16,627
Caudal,11/05/2023 15:16,639
Caudal,11/05/2023 15:16,654
Caudal,11/05/2023 15:17,630
Caudal,11/05/2023 15:17,618
Caudal,11/05/2023 15:19,631
Caudal,11/05/2023 15:22,656
Caudal,11/05/2023 15:22,644
Caudal,11/05/2023 15:23,623
Caudal,11/05/2023 15:23,623
Caudal,11/05/2023 15:23,637
Caudal,11/05/2023 15:27,637
Caudal,11/05/2023 15:27,640
Caudal,11/05/2023 15:30,626
Caudal,11/05/2023 15:34,639
Caudal,11/05/2023 15:35,623
Caudal,11/05/2023 15:35,609
Caudal,11/05/2023 15:38,620
Caudal,11/05/2023 15:38,622
Caudal,11/05/2023 15:39,609
Caudal,11/05/2023 15:41,623
Caudal,11/05/2023 15:43,608
Caudal,11/05/2023 15:44,626
Caudal,11/05/2023 15:44,638
Caudal,11/05/2023 15:44,625
Caudal,11/05/2023 15:49,613
Caudal,11/05/2023 15:52,589
Caudal,11/05/2023 15:52,567
