Tag Name,Time,Value
Caudal,10/05/2023 13:13,500
Caudal,10/05/2023 13:41,512
Caudal,10/05/2023 13:44,508
Caudal,10/05/2023 14:41,499
Caudal,10/05/2023 15:07,491
Caudal,10/05/2023 16:28,506
Caudal,10/05/2023 16:50,510
Caudal,10/05/2023 17:28,510
Caudal,10/05/2023 17:50,511
Caudal,10/05/2023 18:09,498
Caudal,10/05/2023 18:47,512
Caudal,10/05/2023 19:12,508
Caudal,10/05/2023 19:32,499
Caudal,10/05/2023 20:34,497
Caudal,10/05/2023 20:42,511
Caudal,10/05/2023 21:56,515
Caudal,10/05/2023 22:14,500
Caudal,10/05/2023 23:18,503
Caudal,11/05/2023 0:40,499
Caudal,11/05/2023 2:03,504
Caudal,11/05/2023 2:22,512
Caudal,11/05/2023 2:44,524
Caudal,11/05/2023 2:49,548
Caudal,11/05/2023 2:53,560
Caudal,11/05/2023 2:57,572
Caudal,11/05/2023 3:24,574
Caudal,11/05/2023 4:46,569
Caudal,11/05/2023 4:59,548
Caudal,11/05/2023 5:20,535
Caudal,11/05/2023 5:40,524
Caudal,11/05/2023 5:53,512
Caudal,11/05/2023 5:58,499
Caudal,11/05/2023 6:02,473
Caudal,11/05/2023 6:07,450
Caudal,11/05/2023 6:08,441
Caudal,11/05/2023 6:09,438
Caudal,11/05/2023 6:19,426
Caudal,11/05/2023 6:20,414
Caudal,11/05/2023 6:20,400
Caudal,11/05/2023 6:21,388
Caudal,11/05/2023 6:23,359
Caudal,11/05/2023 6:23,375
Caudal,11/05/2023 6:24,342
Caudal,11/05/2023 6:25,325
Caudal,11/05/2023 6:25,308
Caudal,11/05/2023 6:26,291
Caudal,11/05/2023 6:27,260
Caudal,11/05/2023 6:28,275
Caudal,11/05/2023 6:29,231
Caudal,11/05/2023 6:29,246
Caudal,11/05/2023 6:30,218
Caudal,11/05/2023 6:30,218
Caudal,11/05/2023 6:32,206
Caudal,11/05/2023 6:35,218
Caudal,11/05/2023 6:36,234
Caudal,11/05/2023 6:37,250
Caudal,11/05/2023 6:37,263
Caudal,11/05/2023 6:38,285
Caudal,11/05/2023 6:39,304
Caudal,11/05/2023 6:39,322
Caudal,11/05/2023 6:40,337
Caudal,11/05/2023 6:40,353
Caudal,11/05/2023 6:41,369
Caudal,11/05/2023 6:42,384
Caudal,11/05/2023 6:43,399
Caudal,11/05/2023 6:44,410
Caudal,11/05/2023 6:46,422
Caudal,11/05/2023 6:46,422
Caudal,11/05/2023 6:56,434
Caudal,11/05/2023 7:10,457
Caudal,11/05/2023 7:13,469
Caudal,11/05/2023 7:22,482
Caudal,11/05/2023 7:24,495
Caudal,11/05/2023 7:24,495
Caudal,11/05/2023 7:29,508
Caudal,11/05/2023 7:29,520
Caudal,11/05/2023 7:30,522
Caudal,11/05/2023 7:31,532
Caudal,11/05/2023 7:32,544
Caudal,11/05/2023 7:34,556
Caudal,11/05/2023 7:37,570
Caudal,11/05/2023 7:38,581
Caudal,11/05/2023 7:48,569
Caudal,11/05/2023 7:58,557
Caudal,11/05/2023 8:48,570
Caudal,11/05/2023 8:52,567
Caudal,11/05/2023 9:07,543
Caudal,11/05/2023 9:13,531
Caudal,11/05/2023 10:14,509
Caudal,11/05/2023 10:25,527
Caudal,11/05/2023 11:03,515
Caudal,11/05/2023 11:21,527
Caudal,11/05/2023 11:36,535
Caudal,11/05/2023 11:52,539
Caudal,11/05/2023 11:59,553
Caudal,11/05/2023 12:04,565
Caudal,11/05/2023 12:45,540
Caudal,11/05/2023 12:58,550
Caudal,11/05/2023 12:58,552
Caudal,11/05/2023 13:21,536
Caudal,11/05/2023 14:13,511
Caudal,11/05/2023 14:21,501
Caudal,11/05/2023 14:36,500
Caudal,11/05/2023 14:39,513
Caudal,11/05/2023 15:42,515
Caudal,11/05/2023 17:04,511
Caudal,11/05/2023 17:19,501
Caudal,11/05/2023 18:26,517
Caudal,11/05/2023 18:43,503
Caudal,11/05/2023 19:17,515
Caudal,11/05/2023 19:41,528
Caudal,11/05/2023 19:48,524
Caudal,11/05/2023 19:53,515
Caudal,11/05/2023 21:08,527
Caudal,11/05/2023 21:10,525
Caudal,11/05/2023 22:12,515
Caudal,11/05/2023 22:32,515
Caudal,11/05/2023 23:54,518
Caudal,12/05/2023 1:16,518
Caudal,12/05/2023 1:40,527
Caudal,12/05/2023 2:02,539
Caudal,12/05/2023 2:38,539
Caudal,12/05/2023 3:04,553
Caudal,12/05/2023 3:28,565
Caudal,12/05/2023 3:28,565
Caudal,12/05/2023 3:48,553
Caudal,12/05/2023 5:22,552
Caudal,12/05/2023 6:29,541
Caudal,12/05/2023 6:44,548
Caudal,12/05/2023 6:58,529
Caudal,12/05/2023 7:21,517
Caudal,12/05/2023 8:06,518
Caudal,12/05/2023 8:20,529
Caudal,12/05/2023 9:10,515
Caudal,12/05/2023 9:28,515
Caudal,12/05/2023 10:02,527
Caudal,12/05/2023 10:50,532
Caudal,12/05/2023 11:02,539
Caudal,12/05/2023 11:07,526
Caudal,12/05/2023 11:07,514
Caudal,12/05/2023 11:07,514
Caudal,12/05/2023 11:08,487
Caudal,12/05/2023 11:08,446
Caudal,12/05/2023 11:09,500
Caudal,12/05/2023 11:09,446
Caudal,12/05/2023 11:09,458
Caudal,12/05/2023 12:06,469
Caudal,12/05/2023 12:12,462
Caudal,12/05/2023 12:14,457
